cultivo,cve_ent,entidad,cve_mun,municipio,productores,escenario_precio,escenario_marginacion,latitud,longitud,im,gm
Arroz,04,Campeche,011,Candelaria,53,2.1,5.1,18.1835,-91.0463,50.5139,Alto
Arroz,06,Colima,002,Colima,32,2.1,5.1,19.2429,-103.728,59.7712,Muy bajo
Arroz,06,Colima,004,Coquimatlán,46,2.1,5.1,19.201,-103.811,57.1252,Muy bajo
Arroz,06,Colima,005,Cuauhtémoc,227,2.1,5.1,19.3288,-103.602,58.1701,Muy bajo
Arroz,06,Colima,010,Villa de Álvarez,3,2.1,5.1,19.2648,-103.737,60.5121,Muy bajo
Arroz,07,Chiapas,001,Acacoyagua,112,2.1,5.1,15.341,-92.6746,53.2908,Medio
Arroz,07,Chiapas,003,Acapetahua,13,2.1,5.1,15.2828,-92.6891,52.1499,Alto
Arroz,07,Chiapas,005,Amatán,14,2.1,5.1,17.3728,-92.8191,48.7593,Alto
Arroz,07,Chiapas,032,Escuintla,74,2.1,5.1,15.3193,-92.6586,52.582,Alto
Arroz,07,Chiapas,033,Francisco León,3,2.1,5.1,17.3502,-93.3096,49.9741,Alto
Arroz,07,Chiapas,048,Juárez,9,2.1,5.1,17.6082,-93.1933,53.7162,Medio
Arroz,07,Chiapas,051,Mapastepec,6,2.1,5.1,15.4411,-92.8916,53.0838,Medio
Arroz,07,Chiapas,062,Ostuacán,26,2.1,5.1,17.4056,-93.3371,51.6489,Alto
Arroz,07,Chiapas,065,Palenque,15,2.1,5.1,17.5091,-91.981,52.6742,Medio
Arroz,07,Chiapas,071,Villa Comaltitlán,7,2.1,5.1,15.2119,-92.576,52.1712,Alto
Arroz,07,Chiapas,074,Reforma,5,2.1,5.1,17.8658,-93.1471,56.2836,Bajo
Arroz,07,Chiapas,076,Sabanilla,17,2.1,5.1,17.2835,-92.5517,48.9361,Alto
Arroz,07,Chiapas,077,Salto de Agua,4,2.1,5.1,17.557,-92.3334,48.0927,Muy alto
Arroz,07,Chiapas,084,Solosuchiapa,3,2.1,5.1,17.4287,-93.0312,52.3586,Alto
Arroz,07,Chiapas,096,Tila,4,2.1,5.1,17.3006,-92.4259,48.3405,Muy alto
Arroz,07,Chiapas,114,Benemérito de las Américas,3,2.1,5.1,16.5158,-90.6533,51.4193,Alto
Arroz,07,Chiapas,124,Mezcalapa,5,2.1,5.1,17.1892,-93.6048,51.2982,Alto
Arroz,12,Guerrero,005,Alpoyeca,34,2.1,5.1,17.6701,-98.5132,52.8247,Medio
Arroz,12,Guerrero,011,Atoyac de Álvarez,4,2.1,5.1,17.2127,-100.433,53.5449,Medio
Arroz,12,Guerrero,012,Ayutla de los Libres,80,2.1,5.1,16.9653,-99.0974,45.9408,Muy alto
Arroz,12,Guerrero,021,Coyuca de Benítez,27,2.1,5.1,17.009,-100.089,52.2596,Alto
Arroz,12,Guerrero,033,Huamuxtitlán,19,2.1,5.1,17.8022,-98.5653,53.6505,Medio
Arroz,12,Guerrero,048,Petatlán,6,2.1,5.1,17.5382,-101.275,54.412,Medio
Arroz,12,Guerrero,056,Tecoanapa,21,2.1,5.1,16.9889,-99.2609,48.7358,Alto
Arroz,12,Guerrero,057,Técpan de Galeana,6,2.1,5.1,17.2226,-100.632,53.3608,Medio
Arroz,12,Guerrero,083,Ñuu Savi,20,2.1,5.1,16.9458,-99.0081,0,
Arroz,14,Jalisco,024,Cocula,31,2.1,5.1,20.3675,-103.824,57.8696,Muy bajo
Arroz,14,Jalisco,077,San Martín Hidalgo,76,2.1,5.1,20.435,-103.929,57.522,Muy bajo
Arroz,14,Jalisco,100,Tomatlán,101,2.1,5.1,19.9414,-105.245,55.2808,Bajo
Arroz,16,Michoacán de Ocampo,006,Apatzingán,4,2.1,5.1,19.0872,-102.355,56.224,Bajo
Arroz,16,Michoacán de Ocampo,033,Gabriel Zamora,136,2.1,5.1,19.1598,-102.054,55.555,Bajo
Arroz,16,Michoacán de Ocampo,064,Parácuaro,24,2.1,5.1,19.1458,-102.22,54.0615,Medio
Arroz,16,Michoacán de Ocampo,089,Tepalcatepec,47,2.1,5.1,19.1914,-102.844,56.4405,Bajo
Arroz,17,Morelos,004,Ayala,7,2.1,5.1,18.7671,-98.9821,55.563,Bajo
Arroz,17,Morelos,006,Cuautla,31,2.1,5.1,18.8128,-98.9553,57.958,Muy bajo
Arroz,17,Morelos,008,Emiliano Zapata,73,2.1,5.1,18.841,-99.1832,58.7153,Muy bajo
Arroz,17,Morelos,012,Jojutla,6,2.1,5.1,18.6166,-99.181,57.6666,Muy bajo
Arroz,17,Morelos,014,Mazatepec,11,2.1,5.1,18.7332,-99.367,55.9424,Bajo
Arroz,17,Morelos,018,Temixco,41,2.1,5.1,18.8453,-99.2241,57.6802,Muy bajo
Arroz,17,Morelos,028,Xochitepec,39,2.1,5.1,18.7819,-99.2315,57.0852,Muy bajo
Arroz,17,Morelos,029,Yautepec,5,2.1,5.1,18.8861,-99.0608,57.0587,Muy bajo
Arroz,18,Nayarit,008,Xalisco,42,2.1,5.1,21.4437,-104.9,59.4733,Muy bajo
Arroz,18,Nayarit,010,Rosamorada,118,2.1,5.1,22.1225,-105.204,54.7732,Bajo
Arroz,18,Nayarit,012,San Blas,68,2.1,5.1,21.5417,-105.286,56.5786,Muy bajo
Arroz,18,Nayarit,015,Santiago Ixcuintla,560,2.1,5.1,21.8083,-105.206,56.2647,Bajo
Arroz,18,Nayarit,020,Bahía de Banderas,35,2.1,5.1,20.8068,-105.248,59.2066,Muy bajo
Arroz,27,Tabasco,001,Balancán,11,2.1,5.1,17.8004,-91.5338,53.9658,Medio
Arroz,27,Tabasco,002,Cárdenas,10,2.1,5.1,17.9894,-93.3769,55.9742,Bajo
Arroz,27,Tabasco,004,Centro,3,2.1,5.1,17.9878,-92.9194,58.7306,Muy bajo
Arroz,27,Tabasco,005,Comalcalco,11,2.1,5.1,18.266,-93.225,56.3286,Bajo
Arroz,27,Tabasco,006,Cunduacán,6,2.1,5.1,18.0654,-93.1743,55.471,Bajo
Arroz,27,Tabasco,008,Huimanguillo,74,2.1,5.1,17.8352,-93.3908,54.2023,Medio
Arroz,27,Tabasco,009,Jalapa,20,2.1,5.1,17.7197,-92.8122,55.5079,Bajo
Arroz,27,Tabasco,012,Macuspana,18,2.1,5.1,17.7564,-92.5941,54.3294,Medio
Arroz,27,Tabasco,015,Tacotalpa,23,2.1,5.1,17.5918,-92.8263,54.3276,Medio
Arroz,27,Tabasco,016,Teapa,4,2.1,5.1,17.5483,-92.953,55.5497,Bajo
Arroz,27,Tabasco,017,Tenosique,33,2.1,5.1,17.4775,-91.4259,54.735,Bajo
Arroz,28,Tamaulipas,021,El Mante,83,2.1,5.1,22.744,-98.9717,58.015,Muy bajo
Arroz,30,Veracruz de Ignacio de la Llave,011,Alvarado,6,2.1,5.1,18.7743,-95.7639,57.5605,Muy bajo
Arroz,30,Veracruz de Ignacio de la Llave,061,Las Choapas,24,2.1,5.1,17.9093,-94.0903,52.4687,Alto
Arroz,30,Veracruz de Ignacio de la Llave,070,Hidalgotitlán,4,2.1,5.1,17.771,-94.6465,49.702,Alto
Arroz,30,Veracruz de Ignacio de la Llave,082,Ixhuatlán del Sureste,3,2.1,5.1,18.0228,-94.3937,55.0802,Bajo
Arroz,30,Veracruz de Ignacio de la Llave,108,Minatitlán,15,2.1,5.1,17.991,-94.5484,56.574,Muy bajo
Arroz,30,Veracruz de Ignacio de la Llave,122,Pajapan,4,2.1,5.1,18.2617,-94.6918,51.4271,Alto
Arroz,30,Veracruz de Ignacio de la Llave,176,Tlacojalpan,3,2.1,5.1,18.2309,-95.9476,52.9037,Medio
Arroz,30,Veracruz de Ignacio de la Llave,181,Tlalixcoyan,22,2.1,5.1,18.8022,-96.0609,54.0409,Medio
Arroz,30,Veracruz de Ignacio de la Llave,204,Agua Dulce,7,2.1,5.1,18.1383,-94.1472,56.4553,Bajo
Arroz,30,Veracruz de Ignacio de la Llave,207,Tres Valles,28,2.1,5.1,18.2409,-96.1348,53.9219,Medio
Arroz,30,Veracruz de Ignacio de la Llave,209,Tatahuicapan de Juárez,4,2.1,5.1,18.2464,-94.7602,51.5278,Alto
Arroz,30,Veracruz de Ignacio de la Llave,210,Uxpanapa,3,2.1,5.1,17.276,-94.4513,51.3426,Alto
Frijol,01,Aguascalientes,001,Aguascalientes,167,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,1077,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,40,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,32,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,33,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,68,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,149,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,59,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,246,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,01,Aguascalientes,001,Aguascalientes,875,2.1,5.1,21.8798,-102.296,60.3188,Muy bajo
Frijol,03,Baja California Sur,001,Comondú,0,2.1,5.1,25.0346,-111.673,58.2638,Muy bajo
Frijol,03,Baja California Sur,001,Comondú,11,2.1,5.1,25.0346,-111.673,58.2638,Muy bajo
Frijol,04,Campeche,001,Calkiní,136,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,50,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,110,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,279,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,98,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,78,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,3,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,115,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,482,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,651,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,612,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,21,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,04,Campeche,001,Calkiní,10,2.1,5.1,20.3712,-90.0507,55.3813,Bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,53,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,13,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,164,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,61,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,7,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,0,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,502,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,27,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,8,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,17,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,4,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,40,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,540,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,22,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,96,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,1,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,941,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,2,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,3,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,5,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,36,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,11,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,05,Coahuila de Zaragoza,001,Abasolo,134,2.1,5.1,27.1819,-101.426,57.8201,Muy bajo
Frijol,06,Colima,001,Armería,19,2.1,5.1,18.9371,-103.965,56.4059,Bajo
Frijol,06,Colima,001,Armería,4,2.1,5.1,18.9371,-103.965,56.4059,Bajo
Frijol,06,Colima,001,Armería,2,2.1,5.1,18.9371,-103.965,56.4059,Bajo
Frijol,06,Colima,001,Armería,3,2.1,5.1,18.9371,-103.965,56.4059,Bajo
Frijol,06,Colima,001,Armería,6,2.1,5.1,18.9371,-103.965,56.4059,Bajo
Frijol,07,Chiapas,001,Acacoyagua,118,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,88,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,63,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,2258,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,960,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,190,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,347,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,497,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,5,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,42,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,87,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,421,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1035,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,265,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,80,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,151,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,646,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,741,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,2138,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1152,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1256,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,403,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,4178,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,293,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,732,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,2233,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,822,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,146,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,102,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,450,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,7267,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,386,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,220,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,330,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,81,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,33,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,07,Chiapas,001,Acacoyagua,1415,2.1,5.1,15.341,-92.6746,53.2908,Medio
