"year","idcultivo","cultivo","cve_ent","entidad","sexo","benef_total","monto_total","im","gm","imn","tipo","count_tipo"
2023,5080000,"Ajonjoli grano","07","Chiapas","H",77.0,541200.0,11.9987,"Muy alto",0.44142,"No aplica",0
2023,5080000,"Ajonjoli grano","07","Chiapas","M",48.0,325500.0,11.9987,"Muy alto",0.44142,"No aplica",0
2023,5080000,"Ajonjoli grano","12","Guerrero","H",3.0,18000.0,10.9892,"Muy alto",0.404281,"B",1
2023,5080000,"Ajonjoli grano","12","Guerrero","H",24.0,184000.0,10.9892,"Muy alto",0.404281,"No aplica",0
2023,5080000,"Ajonjoli grano","12","Guerrero","M",12.0,123200.0,10.9892,"Muy alto",0.404281,"No aplica",0
2023,5080000,"Ajonjoli grano","13","Hidalgo","M",4.0,40000.0,18.0532,"Alto",0.664161,"No aplica",0
2023,5080000,"Ajonjoli grano","13","Hidalgo","H",8.0,48000.0,18.0532,"Alto",0.664161,"A",1
2023,5080000,"Ajonjoli grano","14","Jalisco","H",77.0,780200.0,21.8151,"Bajo",0.80256,"No aplica",0
2023,5080000,"Ajonjoli grano","14","Jalisco","M",9.0,86400.0,21.8151,"Bajo",0.80256,"No aplica",0
2023,5080000,"Ajonjoli grano","16","Michoacán de Ocampo","H",412.0,3396800.0,18.2808,"Alto",0.672536,"No aplica",0
2023,5080000,"Ajonjoli grano","16","Michoacán de Ocampo","M",175.0,1482000.0,18.2808,"Alto",0.672536,"No aplica",0
2023,5080000,"Ajonjoli grano","16","Michoacán de Ocampo","H",60.0,374400.0,18.2808,"Alto",0.672536,"B",1
2023,5080000,"Ajonjoli grano","16","Michoacán de Ocampo","M",4.0,24000.0,18.2808,"Alto",0.672536,"B",1
2023,5080000,"Ajonjoli grano","18","Nayarit","M",3.0,28200.0,17.516,"Alto",0.644397,"No aplica",0
2023,5080000,"Ajonjoli grano","18","Nayarit","H",12.0,96000.0,17.516,"Alto",0.644397,"No aplica",0
2023,5080000,"Ajonjoli grano","20","Oaxaca","H",380.0,3333000.0,13.2164,"Muy alto",0.48622,"A",8
2023,5080000,"Ajonjoli grano","20","Oaxaca","M",122.0,942000.0,13.2164,"Muy alto",0.48622,"A",5
2023,5080000,"Ajonjoli grano","20","Oaxaca","H",57.0,462000.0,13.2164,"Muy alto",0.48622,"B",2
2023,5080000,"Ajonjoli grano","20","Oaxaca","M",19.0,130000.0,13.2164,"Muy alto",0.48622,"B",1
2023,5080000,"Ajonjoli grano","20","Oaxaca","H",360.0,2616400.0,13.2164,"Muy alto",0.48622,"No aplica",0
2023,5080000,"Ajonjoli grano","20","Oaxaca","M",157.0,1190600.0,13.2164,"Muy alto",0.48622,"No aplica",0
2023,5080000,"Ajonjoli grano","25","Sinaloa","H",4307.0,47575700.0,20.5099,"Medio",0.75454,"No aplica",0
2023,5080000,"Ajonjoli grano","25","Sinaloa","M",2062.0,22989800.0,20.5099,"Medio",0.75454,"No aplica",0
2023,5080000,"Ajonjoli grano","26","Sonora","H",962.0,7807100.0,21.4056,"Bajo",0.787495,"No aplica",0
2023,5080000,"Ajonjoli grano","26","Sonora","M",331.0,2626200.0,21.4056,"Bajo",0.787495,"No aplica",0
2023,5080000,"Ajonjoli grano","28","Tamaulipas","M",17.0,202300.0,20.9966,"Bajo",0.772446,"No aplica",0
2023,5080000,"Ajonjoli grano","28","Tamaulipas","H",20.0,207000.0,20.9966,"Bajo",0.772446,"No aplica",0
2023,5080000,"Ajonjoli grano","30","Veracruz de Ignacio de la Llave","H",12.0,72000.0,16.4142,"Alto",0.603863,"No aplica",0
2023,5340000,"Amaranto","05","Coahuila de Zaragoza","H",2.0,18000.0,22.5457,"Muy bajo",0.829436,"No aplica",0
2023,5340000,"Amaranto","09","Ciudad de México","H",152.0,912000.0,23.1431,"Muy bajo",0.851415,"No aplica",0
2023,5340000,"Amaranto","09","Ciudad de México","M",135.0,820800.0,23.1431,"Muy bajo",0.851415,"No aplica",0
2023,5340000,"Amaranto","13","Hidalgo","H",66.0,396000.0,18.0532,"Alto",0.664161,"No aplica",0
2023,5340000,"Amaranto","13","Hidalgo","M",16.0,96000.0,18.0532,"Alto",0.664161,"No aplica",0
2023,5340000,"Amaranto","15","México","H",55.0,425700.0,20.8036,"Bajo",0.765348,"No aplica",0
2023,5340000,"Amaranto","15","México","M",30.0,284400.0,20.8036,"Bajo",0.765348,"No aplica",0
2023,5340000,"Amaranto","15","México","H",3.0,18000.0,20.8036,"Bajo",0.765348,"B",1
