"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Arroz","07","Chiapas","032","Escuintla",74,287667.0,357895.0,15.3193,-92.6586,52.582,"Alto",0.823361
"Arroz","07","Chiapas","001","Acacoyagua",112,544825.0,14932.8,15.341,-92.6746,53.2908,"Medio",0.83446
"Arroz","07","Chiapas","003","Acapetahua",13,65529.9,8262.0,15.2828,-92.6891,52.1499,"Alto",0.816596
"Arroz","30","Veracruz de Ignacio de la Llave","176","Tlacojalpan",3,78764.4,57840.1,18.2309,-95.9476,52.9037,"Medio",0.828398
"Arroz","30","Veracruz de Ignacio de la Llave","207","Tres Valles",28,4706820.0,37760.4,18.2409,-96.1348,53.9219,"Medio",0.844342
"Arroz","30","Veracruz de Ignacio de la Llave","108","Minatitlán",15,0.0,47054.2,17.991,-94.5484,56.574,"Muy bajo",0.88587
"Arroz","30","Veracruz de Ignacio de la Llave","061","Las Choapas",24,29793.4,9694.08,17.9093,-94.0903,52.4687,"Alto",0.821587
"Arroz","30","Veracruz de Ignacio de la Llave","082","Ixhuatlán del Sureste",3,36467.9,1530.0,18.0228,-94.3937,55.0802,"Bajo",0.862479
"Arroz","30","Veracruz de Ignacio de la Llave","122","Pajapan",4,2203.2,332394.0,18.2617,-94.6918,51.4271,"Alto",0.805277
"Arroz","30","Veracruz de Ignacio de la Llave","209","Tatahuicapan de Juárez",4,1071.0,4590.0,18.2464,-94.7602,51.5278,"Alto",0.806853
"Arroz","30","Veracruz de Ignacio de la Llave","070","Hidalgotitlán",4,9694.08,6732.0,17.771,-94.6465,49.702,"Alto",0.778264
"Arroz","30","Veracruz de Ignacio de la Llave","210","Uxpanapa",3,6732.0,20196.0,17.276,-94.4513,51.3426,"Alto",0.803954
"Arroz","30","Veracruz de Ignacio de la Llave","204","Agua Dulce",7,0.0,2203.2,18.1383,-94.1472,56.4553,"Bajo",0.884012
"Arroz","30","Veracruz de Ignacio de la Llave","011","Alvarado",6,0.0,1071.0,18.7743,-95.7639,57.5605,"Muy bajo",0.901317
"Arroz","07","Chiapas","114","Benemérito de las Américas",3,20196.0,29437.2,16.5158,-90.6533,51.4193,"Alto",0.805155
"Arroz","07","Chiapas","124","Mezcalapa",5,4590.0,65529.9,17.1892,-93.6048,51.2982,"Alto",0.803258
"Arroz","07","Chiapas","033","Francisco León",3,1530.0,9730.8,17.3502,-93.3096,49.9741,"Alto",0.782524
"Arroz","07","Chiapas","076","Sabanilla",17,47054.2,189806.0,17.2835,-92.5517,48.9361,"Alto",0.766272
"Arroz","07","Chiapas","071","Villa Comaltitlán",7,9730.8,979.2,15.2119,-92.576,52.1712,"Alto",0.816929
"Arroz","07","Chiapas","084","Solosuchiapa",3,979.2,29793.4,17.4287,-93.0312,52.3586,"Alto",0.819862
"Arroz","07","Chiapas","065","Palenque",15,185681.0,287667.0,17.5091,-91.981,52.6742,"Medio",0.824804
"Arroz","07","Chiapas","096","Tila",4,8262.0,185681.0,17.3006,-92.4259,48.3405,"Muy alto",0.756945
"Arroz","07","Chiapas","077","Salto de Agua",4,14932.8,1969590.0,17.557,-92.3334,48.0927,"Muy alto",0.753064
"Arroz","07","Chiapas","051","Mapastepec",6,25318.4,78764.4,15.4411,-92.8916,53.0838,"Medio",0.831218
"Arroz","30","Veracruz de Ignacio de la Llave","181","Tlalixcoyan",22,11171600.0,25318.4,18.8022,-96.0609,54.0409,"Medio",0.846205
